Dataset,Variance,Skewness,Kurtosis,Entropy,Autocorrelation (Lag-1),Cluster
AirQualityUCI.csv,14.33961742129464,4.321792024620363,22.39651943372401,5.368293958412561,-0.1180062302436212,1
car_parts_dataset_without_missing_values.tsf,0.9352332353705672,7.221158491228163,125.50948050116313,0.8734036907230809,0.1896435637628949,1
covid_deaths_dataset.tsf,17.829150610552936,13.327788111706017,220.9207501081723,4.095578964573624,0.9907145213581446,0
dominick_dataset.tsf,5.706665706228173,0.8337059210128189,-0.0028849245665742,4.835917179145859,0.2685193389014097,1
electricity_hourly_dataset.tsf,19.21744211351462,25.372345529001123,818.7583612724909,7.986335721274414,0.3660745717143248,3
electricity_weekly_dataset.tsf,29.225311951202848,16.321482345129127,327.44048730565805,10.665051455978285,0.9921623766531488,3
fred_md_dataset.tsf,23.168257912142774,14.043561365718016,267.62386667862665,10.207330841295455,0.9969076951480964,3
hospital_dataset.tsf,13.45733136225583,7.757529516754977,77.70779541570874,5.71977037044055,0.9890873022532902,0
m1_monthly_dataset.tsf,21.629306241038265,18.574753409978403,513.2310580871842,9.36670761411399,0.9162779071662414,3
m1_quarterly_dataset.tsf,22.224698760228975,7.809233926509087,66.49010096322056,7.928023958006159,0.971227563839682,0
m1_yearly_dataset.tsf,30.020576482912194,7.133826858365419,57.60199759497283,8.06226093844565,0.932956623472302,0
m3_monthly_dataset.tsf,15.479357812039225,2.98711623651754,40.513904534878286,8.975089367063168,0.857356595388832,2
m3_quarterly_dataset.tsf,14.975000799928914,0.5966510953991824,1.7175924111263754,9.72638331791621,0.8927370640091706,2
m3_yearly_dataset.tsf,15.645514456242264,1.4426541101148038,12.215219566537389,9.142324401063217,0.8641515866640322,2
m4_daily_dataset.tsf,16.706860502166318,0.6056822194729627,-0.3081945433742765,11.25496289670395,0.9136197293938502,2
m4_hourly_dataset.tsf,20.973706075938892,13.344426777843154,201.73681402689195,7.33785750757291,0.9886306879269756,0
m4_monthly_dataset.tsf,16.197849199318735,1.748375317218367,12.957367636101528,9.847810718205729,0.4133288000397297,2
m4_quarterly_dataset.tsf,16.383577504204546,1.5200316575853912,4.8575122151424885,10.270799492486534,0.5577713329749014,2
m4_yearly_dataset.tsf,16.410410470270797,2.697690452965222,43.49736470254631,10.553756562222118,0.5070960551552229,2
nn5_weekly_dataset.tsf,7.52742028494799,0.8395486499554496,2.027544301849117,9.097106268328131,0.8435038862678143,2
pedestrian_counts_dataset.tsf,13.452605146433845,2.218493565069848,5.83761741823338,7.188197222687362,0.1865388815302807,2
SnP5yr.csv,28.479755843374548,17.132520444330847,501.6103748165334,9.842443118700189,0.806280790230771,3
solar_10_minutes_dataset.tsf,4.724241705366017,2.103454079675017,5.1054706413205935,3.598159940827792,-0.3615194490983388,1
solar_4_seconds_dataset.tsf,7.538910052827796,0.8466113848635294,-1.0011316350596604,3.861786776532007,0.9832472884197264,1
solar_weekly_dataset.tsf,16.039538180707712,2.185628712368706,7.498256990088583,8.80063522673458,0.8838336795980571,2
tourism_monthly_dataset.tsf,21.10444264008785,13.001156814722648,272.05569755027733,8.517825385447377,0.963433369891598,0
tourism_quarterly_dataset.tsf,25.930262957425356,25.894255185520084,778.0678924416037,9.157350772228702,0.9770415512893352,3
tourism_yearly_dataset.tsf,28.97331358673117,19.190749208732463,449.8399800292351,9.10651913250244,0.9105097846976316,3
traffic_hourly_dataset.tsf,0.0029113612960952047,2.5931841738244783,10.283658468881018,7.252315161146321,0.0204593984936366,1
us_births_dataset.tsf,14.055135213269937,0.023176769762238,-0.6666393924658576,8.007533397728423,0.6357371322431815,2
